resnet50_benign_acc: 96.0000, resnet50_benign_asr: 4.0000, resnet50_adv_acc: 0.3000, resnet50_adv_asr: 99.7000, resnet50_fdadv_acc: 54.1000, resnet50_fdadv_asr: 45.9000
densenet121_benign_acc: 91.1000, densenet121_benign_asr: 8.9000, densenet121_adv_acc: 15.0000, densenet121_adv_asr: 85.0000, densenet121_fdadv_acc: 62.7000, densenet121_fdadv_asr: 37.3000
resnext50_benign_acc: 98.9000, resnext50_benign_asr: 1.1000, resnext50_adv_acc: 11.5000, resnext50_adv_asr: 88.5000, resnext50_fdadv_acc: 62.9000, resnext50_fdadv_asr: 37.1000
vgg19bn_benign_acc: 71.5000, vgg19bn_benign_asr: 28.5000, vgg19bn_adv_acc: 14.4000, vgg19bn_adv_asr: 85.6000, vgg19bn_fdadv_acc: 50.8000, vgg19bn_fdadv_asr: 49.2000
incres_v2_benign_acc: 95.7000, incres_v2_benign_asr: 4.3000, incres_v2_adv_acc: 33.9000, incres_v2_adv_asr: 66.1000, incres_v2_fdadv_acc: 72.2000, incres_v2_fdadv_asr: 27.8000
inc_v3_benign_acc: 85.2000, inc_v3_benign_asr: 14.8000, inc_v3_adv_acc: 25.9000, inc_v3_adv_asr: 74.1000, inc_v3_fdadv_acc: 64.9000, inc_v3_fdadv_asr: 35.1000
inc_v4_benign_acc: 94.0000, inc_v4_benign_asr: 6.0000, inc_v4_adv_acc: 27.1000, inc_v4_adv_asr: 72.9000, inc_v4_fdadv_acc: 68.7000, inc_v4_fdadv_asr: 31.3000
resnet101_benign_acc: 98.5000, resnet101_benign_asr: 1.5000, resnet101_adv_acc: 13.8000, resnet101_adv_asr: 86.2000, resnet101_fdadv_acc: 65.6000, resnet101_fdadv_asr: 34.4000
resnet152_benign_acc: 98.8000, resnet152_benign_asr: 1.2000, resnet152_adv_acc: 15.4000, resnet152_adv_asr: 84.6000, resnet152_fdadv_acc: 65.4000, resnet152_fdadv_asr: 34.6000
adv_inception_v3_benign_acc: 89.0000, adv_inception_v3_benign_asr: 11.0000, adv_inception_v3_adv_acc: 56.2000, adv_inception_v3_adv_asr: 43.8000, adv_inception_v3_fdadv_acc: 73.5000, adv_inception_v3_fdadv_asr: 26.5000
ens_adv_inception_resnet_v2_benign_acc: 93.8000, ens_adv_inception_resnet_v2_benign_asr: 6.2000, ens_adv_inception_resnet_v2_adv_acc: 77.8000, ens_adv_inception_resnet_v2_adv_asr: 22.2000, ens_adv_inception_resnet_v2_fdadv_acc: 83.2000, ens_adv_inception_resnet_v2_fdadv_asr: 16.8000
visformer_small_benign_acc: 97.9000, visformer_small_benign_asr: 2.1000, visformer_small_adv_acc: 31.5000, visformer_small_adv_asr: 68.5000, visformer_small_fdadv_acc: 71.1000, visformer_small_fdadv_asr: 28.9000
vit_b_benign_acc: 97.8000, vit_b_benign_asr: 2.2000, vit_b_adv_acc: 61.3000, vit_b_adv_asr: 38.7000, vit_b_fdadv_acc: 82.8000, vit_b_fdadv_asr: 17.2000
swin_b_benign_acc: 98.0000, swin_b_benign_asr: 2.0000, swin_b_adv_acc: 52.2000, swin_b_adv_asr: 47.8000, swin_b_fdadv_acc: 77.4000, swin_b_fdadv_asr: 22.6000
pit_b_benign_acc: 97.9000, pit_b_benign_asr: 2.1000, pit_b_adv_acc: 44.7000, pit_b_adv_asr: 55.3000, pit_b_fdadv_acc: 75.7000, pit_b_fdadv_asr: 24.3000
mobilenet_benign_acc: 55.7000, mobilenet_benign_asr: 44.3000, mobilenet_adv_acc: 24.7000, mobilenet_adv_asr: 75.3000, mobilenet_fdadv_acc: 53.6000, mobilenet_fdadv_asr: 46.4000
