resnet50_benign_acc: 96.0000, resnet50_benign_asr: 4.0000, resnet50_adv_acc: 58.7000, resnet50_adv_asr: 41.3000, resnet50_fdadv_acc: 58.6000, resnet50_fdadv_asr: 41.4000
densenet121_benign_acc: 91.1000, densenet121_benign_asr: 8.9000, densenet121_adv_acc: 50.7000, densenet121_adv_asr: 49.3000, densenet121_fdadv_acc: 53.1000, densenet121_fdadv_asr: 46.9000
resnext50_benign_acc: 98.8000, resnext50_benign_asr: 1.2000, resnext50_adv_acc: 57.2000, resnext50_adv_asr: 42.8000, resnext50_fdadv_acc: 58.5000, resnext50_fdadv_asr: 41.5000
vgg19bn_benign_acc: 71.5000, vgg19bn_benign_asr: 28.5000, vgg19bn_adv_acc: 32.1000, vgg19bn_adv_asr: 67.9000, vgg19bn_fdadv_acc: 33.2000, vgg19bn_fdadv_asr: 66.8000
incres_v2_benign_acc: 95.7000, incres_v2_benign_asr: 4.3000, incres_v2_adv_acc: 57.7000, incres_v2_adv_asr: 42.3000, incres_v2_fdadv_acc: 59.2000, incres_v2_fdadv_asr: 40.8000
inc_v3_benign_acc: 85.2000, inc_v3_benign_asr: 14.8000, inc_v3_adv_acc: 45.4000, inc_v3_adv_asr: 54.6000, inc_v3_fdadv_acc: 45.9000, inc_v3_fdadv_asr: 54.1000
inc_v4_benign_acc: 94.0000, inc_v4_benign_asr: 6.0000, inc_v4_adv_acc: 49.5000, inc_v4_adv_asr: 50.5000, inc_v4_fdadv_acc: 50.7000, inc_v4_fdadv_asr: 49.3000
resnet101_benign_acc: 98.5000, resnet101_benign_asr: 1.5000, resnet101_adv_acc: 65.6000, resnet101_adv_asr: 34.4000, resnet101_fdadv_acc: 66.3000, resnet101_fdadv_asr: 33.7000
resnet152_benign_acc: 98.8000, resnet152_benign_asr: 1.2000, resnet152_adv_acc: 67.0000, resnet152_adv_asr: 33.0000, resnet152_fdadv_acc: 68.6000, resnet152_fdadv_asr: 31.4000
adv_inception_v3_benign_acc: 88.9000, adv_inception_v3_benign_asr: 11.1000, adv_inception_v3_adv_acc: 58.3000, adv_inception_v3_adv_asr: 41.7000, adv_inception_v3_fdadv_acc: 59.7000, adv_inception_v3_fdadv_asr: 40.3000
ens_adv_inception_resnet_v2_benign_acc: 93.8000, ens_adv_inception_resnet_v2_benign_asr: 6.2000, ens_adv_inception_resnet_v2_adv_acc: 65.4000, ens_adv_inception_resnet_v2_adv_asr: 34.6000, ens_adv_inception_resnet_v2_fdadv_acc: 65.7000, ens_adv_inception_resnet_v2_fdadv_asr: 34.3000
visformer_small_benign_acc: 97.9000, visformer_small_benign_asr: 2.1000, visformer_small_adv_acc: 44.2000, visformer_small_adv_asr: 55.8000, visformer_small_fdadv_acc: 47.7000, visformer_small_fdadv_asr: 52.3000
vit_b_benign_acc: 97.8000, vit_b_benign_asr: 2.2000, vit_b_adv_acc: 63.7000, vit_b_adv_asr: 36.3000, vit_b_fdadv_acc: 64.7000, vit_b_fdadv_asr: 35.3000
swin_b_benign_acc: 98.0000, swin_b_benign_asr: 2.0000, swin_b_adv_acc: 60.2000, swin_b_adv_asr: 39.8000, swin_b_fdadv_acc: 60.2000, swin_b_fdadv_asr: 39.8000
pit_b_benign_acc: 97.9000, pit_b_benign_asr: 2.1000, pit_b_adv_acc: 0.8000, pit_b_adv_asr: 99.2000, pit_b_fdadv_acc: 0.0000, pit_b_fdadv_asr: 100.0000
mobilenet_benign_acc: 55.8000, mobilenet_benign_asr: 44.2000, mobilenet_adv_acc: 30.7000, mobilenet_adv_asr: 69.3000, mobilenet_fdadv_acc: 30.8000, mobilenet_fdadv_asr: 69.2000
